Type,Strategy,Price,Tick Time,Signal Time,Confirm Time,Result,Digit,Desc,RSI,ADX,BBW,Intensity,Epsilon,Accel,SLow,SHigh,Trend,Dir,Streak,Mean,Std,Conf RSI,Conf ADX,Conf BBW,Conf Int,Conf Eps,Conf Accel,Conf SLow,Conf SHigh
TICK,unleashed,7898.30,1775168645,,,-,,,28.57142857140073,29.912624905266586,1.0152642990212333,1.054427684823026,0,0,0.0008972622079368184,0.001124456605390473,7898.479415111291,-1,3,0.0010108594066636457,0.00011359719872682727,,,,,,,,
TICK,unleashed,7898.20,1775168646,,,-,,,28.57142857138217,30.837233330407233,1.1112201664904577,0.9280086802932648,0,0,0.0008979823433409468,0.0011245287441334277,7898.399582222351,-1,4,0.0010112555437371872,0.00011327320039624043,,,,,,,,
TICK,unleashed,7898.30,1775168647,,,-,,,28.57142857142857,31.695798296602636,1.0917466378808884,1.0475314973142038,2,0.04,0.0008978035791467602,0.0011231924734096666,7898.371130158823,1,1,0.0010104980262782134,0.00011269444713145322,,,,,,,,
TICK,unleashed,7898.20,1775168648,,,-,,,28.57142857141001,32.49303719378673,0.9882899776662543,0.9424867022142406,-2,-0.04,0.0008984191843236621,0.0011233094689653657,7898.322235827731,-1,1,0.001010864326644514,0.00011244514232085181,,,,,,,,
TICK,unleashed,7898.10,1775168649,,,-,,,21.42857142858999,34.25373861871768,0.9585825347633832,1.0906862606125751,0,0,0.0008984291868483984,0.0011233962862722351,7898.25873987695,-1,2,0.0010109127365603167,0.00011248354971191832,,,,,,,,
TICK,unleashed,7898.00,1775168650,,,-,,,21.428571428576078,35.88867565615555,0.9991498892837587,0.9117097379850094,0,0,0.0008989833005191237,0.001123418209467869,7898.184814197822,-1,3,0.0010112007549934964,0.00011221745447437267,,,,,,,,
TICK,unleashed,7897.90,1775168651,,,-,,,14.28571428575141,38.42723963989424,1.0995822144721532,1.050928068301685,0,0,0.0008988406647002001,0.0011219576875518607,7898.103438712729,-1,4,0.0010103991761260304,0.00011155851142583032,,,,,,,,
TICK,unleashed,7897.80,1775168652,,,-,,,14.28571428575141,40.784477624794455,1.2452104955857763,0.9608814113746533,0,0,0.0008999947895040108,0.0011221867733725085,7898.016741937664,-1,5,0.0010110907814382597,0.00011109599193424887,,,,,,,,
TICK,unleashed,7897.90,1775168653,,,-,,,21.428571428576078,41.95293330465542,1.1237392941016362,1.0410851312975258,2,0,0.0008997872753479922,0.0011212739701052569,7897.983387098331,1,1,0.0010105306227266245,0.00011074334737863228,,,,,,,,
TICK,unleashed,7898.00,1775168654,,,-,,,28.571428571437863,42.01751970126035,0.909957443346841,0.8811924449462896,0,0.04,0.0008988557903098024,0.00112120021869927,7897.988133641665,1,2,0.0010100280045045361,0.0001111722141947338,,,,,,,,
TICK,unleashed,7898.10,1775168655,,,-,,,35.71428571431356,41.0570846205541,0.6996051832749363,1.1472439837276873,0,0.04,0.0008988293485529926,0.0011225197934129677,7898.020095458332,1,3,0.0010106745709829801,0.00011184522242998751,,,,,,,,
TICK,unleashed,7898.00,1775168656,,,-,,,28.571428571437863,41.18566020888055,0.6167092609022718,0.8826388688668323,-2,0,0.0008986991052900171,0.0011225217979467246,7898.014353898809,-1,1,0.0010106104516183708,0.00011191134632835372,,,,,,,,
TICK,unleashed,7898.10,1775168657,,,-,,,35.71428571431356,40.28464366334428,0.5681952726695821,1.0685755378663417,2,0.04,0.0008986257664273545,0.001121995850679026,7898.038824213434,1,1,0.0010103108085531903,0.00011168504212583571,,,,,,,,
TICK,unleashed,7898.20,1775168658,,,-,,,42.85714285715214,38.427577279226526,0.5441497072078293,0.9722931426682111,0,0.04,0.0008992530766227096,0.0011222355631830632,7898.084874438167,1,2,0.0010107443199028864,0.00011149124328017675,,,,,,,,
TICK,unleashed,7898.10,1775168659,,,-,,,42.85714285715214,36.70315849397433,0.5538521208279285,1.0570191168412595,-2,-0.04,0.0008991354690467593,0.0011215967983212252,7898.089196027262,-1,1,0.0010103661336839922,0.0001112306646372329,,,,,,,,
TICK,unleashed,7898.00,1775168660,,,-,,,42.85714285715214,35.10191247909729,0.5025522006879308,0.9198329187372103,0,-0.04,0.0008991354690467593,0.0011215967983212252,7898.063711448044,-1,2,0.0010103661336839922,0.0001112306646372329,,,,,,,,
TICK,unleashed,7898.10,1775168661,,,-,,,42.85714285715214,33.61504117956861,0.5216312241035775,1.0407362992231737,2,0,0.0008990590270938358,0.0011214044799646712,7898.074079605745,1,1,0.0010102317535292534,0.0001111727264354177,,,,,,,,
TICK,unleashed,7898.00,1775168662,,,-,,,42.85714285715214,32.2343749728634,0.44944501926827235,0.943633817874139,-2,0,0.00090010691058409,0.0011215332857482968,7898.0529140041035,-1,1,0.0010108200981661934,0.00011071318758210337,,,,,,,,
TICK,unleashed,7898.10,1775168663,,,-,,,50,29.93191961765887,0.3290685876532465,1.0402688992218856,2,0,0.0008999121985865532,0.001119901349105305,7898.066367145788,1,1,0.001009906773845929,0.00010999457525937585,,,,,,,,
TICK,unleashed,7898.00,1775168664,,,-,,,50,27.793925359254665,0.27160351453454684,0.9421412060588177,-2,-0.04,0.0009007561767871,0.0011200200192879812,7898.047405104134,-1,1,0.0010103880980375406,0.00010963192125044062,,,,,,,,
TICK,unleashed,7897.90,1775168665,,,-,,,50,25.808644976450758,0.3641421023048161,1.0440070728504491,0,0,0.0009007834287004829,0.0011200814104267555,7898.005289360095,-1,2,0.0010104324195636192,0.00010964899086313634,,,,,,,,
TICK,unleashed,7898.00,1775168666,,,-,,,57.14285714283858,24.98557849853836,0.3717302831403378,0.9113032155808913,2,0.04,0.0009006312977344664,0.0011200623870594865,7898.003778114354,1,1,0.0010103468423969765,0.0001097155446625101,,,,,,,,
TICK,unleashed,7897.90,1775168667,,,-,,,50,23.200894320071335,0.4428395295121799,1.0734914516171774,-2,-0.04,0.0009005757541558079,0.0011193379944954168,7897.974127224539,-1,1,0.0010099568743256123,0.00010938112016980437,,,,,,,,
TICK,unleashed,7897.80,1775168668,,,-,,,42.85714285716142,22.564095746186037,0.5550683555803456,0.8448304502000206,0,0,0.0008987616002198479,0.0011193490703194572,7897.924376588957,-1,2,0.0010090553352696526,0.00011029373504980468,,,,,,,,
TICK,unleashed,7897.90,1775168669,,,-,,,42.857142857124295,21.972782784726423,0.4761351006347984,1.2100438680847265,2,0,0.0008983703086739913,0.0011224684123157067,7897.917411849256,1,1,0.001010419360494849,0.00011204905182085772,,,,,,,,
TICK,unleashed,7897.80,1775168670,,,-,,,42.85714285715214,21.42370646336709,0.49830326066810005,0.8828618047144358,-2,0,0.0008979241398649802,0.0011224575326620736,7897.883865606611,-1,1,0.001010190836263527,0.00011226669639854672,,,,,,,,
TICK,unleashed,7897.70,1775168671,,,-,,,35.714285714271796,21.934258042516326,0.6271453736823221,1.1287479694487013,0,0,0.0008979610800850853,0.0011234391171710033,7897.83133257615,-1,2,0.0010107000986280443,0.00011273901854295898,,,,,,,,
TICK,unleashed,7897.80,1775168672,,,-,,,35.71428571431356,22.40834165172037,0.5737900979642481,0.9272850809516365,2,0,0.0008979177430337643,0.0011234296041966044,7897.822380411536,1,1,0.0010106736736151844,0.0001127559305814201,,,,,,,,
TICK,unleashed,7897.90,1775168673,,,-,,,42.857142857124295,21.828153982722586,0.48932650121121024,1.054839073041268,0,0.04,0.0008982824693107372,0.0011240616362880682,7897.844557436811,1,2,0.0010111720527994027,0.00011288958348866549,,,,,,,,
TICK,unleashed,7898.00,1775168674,,,-,,,50,20.269000126813832,0.36790967669228997,0.887748099581527,0,0.04,0.0008971064430023975,0.0011238486241929686,7897.888969597722,1,3,0.001010477533597683,0.00011337109059528549,,,,,,,,
TICK,unleashed,7898.10,1775168675,,,-,,,50,18.821214403469988,0.47971293812939103,1.0983697079121955,0,0,0.0008971309745569003,0.0011240918263456527,7897.949263998373,1,4,0.0010106114004512765,0.00011348042589437617,,,,,,,,
TICK,unleashed,7898.00,1775168676,,,-,,,50,17.476841946079272,0.5417089613952443,0.9432793317934232,-2,0,0.0008974282064515055,0.0011241687825964107,7897.963759998837,-1,1,0.001010798494523958,0.00011337028807245255,,,,,,,,
TICK,unleashed,7897.90,1775168677,,,-,,,42.857142857124295,17.24890425605585,0.5057273397767234,1.0730117865800348,0,0,0.0008974091300812078,0.001124069582118455,7897.945542856312,-1,2,0.0010107393560998313,0.00011333022601862354,,,,,,,,
TICK,unleashed,7898.00,1775168678,,,-,,,50,16.016839666337578,0.5359925391116975,0.918639509953324,2,0,0.0008975293681769494,0.0011240862664347727,7897.9611020402235,1,1,0.001010807817305861,0.0001132784491289117,,,,,,,,
TICK,unleashed,7897.90,1775168679,,,-,,,50,14.872779690170608,0.473825957829331,1.081210647713746,-2,-0.04,0.0008977269818418285,0.0011247381729058165,7897.943644314446,-1,1,0.0010112325773738225,0.00011350559553199399,,,,,,,,
TICK,unleashed,7898.00,1775168680,,,-,,,50,13.81043828372985,0.4959783613995607,0.9131045170264716,2,0,0.0008981001065834264,0.001124765421512366,7897.95974593889,1,1,0.0010114327640478962,0.00011333265746446978,,,,,,,,
TICK,unleashed,7897.90,1775168681,,,-,,,50,12.823978406320576,0.44291168647667695,0.9750458250321231,-2,-0.04,0.0008972679739018526,0.0011226456831102006,7897.942675670636,-1,1,0.0010099568285060266,0.00011268885460417404,,,,,,,,
TICK,unleashed,7898.00,1775168682,,,-,,,57.14285714283858,12.928388111988903,0.32451750842499233,0.9688271355724275,2,0.04,0.0008979601346939348,0.0011228836649582279,7897.959054050454,1,1,0.0010104218998260813,0.00011246176513214661,,,,,,,,
TICK,unleashed,7898.10,1775168683,,,-,,,57.14285714286642,13.025339981542043,0.28170667997099846,1.0687749415341523,0,0.04,0.0008985857199128751,0.0011239161724159016,7897.999324321752,1,2,0.0010112509461643884,0.00011266522625151327,,,,,,,,
TICK,unleashed,7898.00,1775168684,,,-,,,57.14285714282931,13.11536671755037,0.2825761598654835,0.9435822798501775,-2,-0.04,0.0008977660655899612,0.0011233698984539527,7897.99951737268,-1,1,0.001010567982021957,0.00011280191643199573,,,,,,,,
TICK,unleashed,7897.90,1775168685,,,-,,,57.14285714282931,13.198962972415243,0.29004334017922195,1.0686204452576684,0,0,0.0008978109641953273,0.001123532897655265,7897.971083837629,-1,2,0.0010106719309252961,0.00011286096672996889,,,,,,,,
TICK,unleashed,7897.80,1775168686,,,-,,,50,12.256179902957012,0.31961421626248043,0.9204100061311519,0,-0.04,0.0008971636927031902,0.001123329567391905,7897.922202741163,-1,3,0.0010102466300475476,0.0001130829373443573,,,,,,,,
TICK,unleashed,7897.70,1775168687,,,-,,,42.8571428571707,12.401146644578555,0.4871586873499041,1.094974887680074,0,0,0.0008973734463295971,0.0011241910759918602,7897.858716243689,-1,4,0.0010107822611607287,0.0001134088148311315,,,,,,,,
TICK,unleashed,7897.80,1775168688,,,-,,,42.8571428571707,12.535758618941415,0.5636244557372201,0.8888883700373272,2,0,0.0008965415624324881,0.001124088820138266,7897.841940174063,1,1,0.001010315191285377,0.00011377362885288892,,,,,,,,
TICK,unleashed,7897.70,1775168689,,,-,,,35.71428571430893,13.681163615544326,0.6286116264024095,1.1022161754152053,-2,-0.04,0.0008971133749621284,0.0011255867023286536,7897.801385838617,-1,1,0.001011350038645391,0.0001142366636832626,,,,,,,,
TICK,unleashed,7897.60,1775168690,,,-,,,35.71428571433212,14.744753969529429,0.7824136128301211,0.9096387663208536,0,0,0.0008960345109362012,0.0011252038571963336,7897.743847027583,-1,2,0.0010106191840662674,0.0001145846731300662,,,,,,,,
TICK,unleashed,7897.50,1775168691,,,-,,,35.71428571433212,15.732373583944167,0.9244580798850022,1.081412456931676,0,0,0.0008961855548810882,0.0011257467155846932,7897.674176448274,-1,3,0.0010109661352328907,0.00011478058035180251,,,,,,,,
TICK,unleashed,7897.60,1775168692,,,-,,,35.71428571433212,16.649448940186424,0.9596189460295032,0.919287004134598,2,0.04,0.0008962003516019078,0.0011257491773231073,7897.652983177339,1,1,0.0010109747644625076,0.00011477441286059973,,,,,,,,
TICK,unleashed,7897.50,1775168693,,,-,,,35.71428571433212,17.50101891383995,0.962770536506163,1.1027250540486337,-2,0,0.0008966642406811432,0.0011271319345290355,7897.609273698099,-1,1,0.0010118980876050894,0.00011523384692394615,,,,,,,,
TICK,unleashed,7897.40,1775168694,,,-,,,28.571428571465688,19.312170624070568,0.9003668674782533,0.8080472709253848,0,-0.04,0.0008942187722840355,0.0011273432720942257,7897.549481212927,-1,2,0.0010107810221891306,0.00011656224990509514,,,,,,,,
